NhiNumber,PatientName,DateOfBirth,PatientEmail,PatientPhone,Gender,SpecialistType,Reason,Urgency,Status,ReceivedAt,AssignedToEmail,ReferringGpEmail,LegacyCaseNo
M200023,Poppy Reed,1965-02-26,m2.23@example.com,+64 22 2000023,Female,Pulmonology,Asthma poorly controlled,Routine,Triaged,2025-12-24T11:41:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000023
M200024,Harry Bennett,1966-03-27,m2.24@example.com,+64 22 2000024,Male,Cardiology,Abnormal ECG,SemiUrgent,Accepted,2025-01-25T12:48:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000024
M200025,Ivy Reid,1967-04-28,m2.25@example.com,+64 22 2000025,Female,Orthopedics,Persistent knee pain,Urgent,Declined,2025-02-26T13:55:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000025
M200026,Jacob Singh,1968-05-01,m2.26@example.com,+64 22 2000026,Male,Neurology,New onset seizure,Routine,Booked,2025-03-27T14:02:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000026
M200027,Sienna Green,1969-06-02,m2.27@example.com,+64 22 2000027,Female,Dermatology,Psoriasis not responding,SemiUrgent,Completed,2025-04-28T15:09:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000027
M200028,Thomas Clarke,1970-07-03,m2.28@example.com,+64 22 2000028,Male,Oncology,Post-treatment follow-up,Urgent,Received,2025-05-01T16:16:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000028
M200029,Willow Hughes,1971-08-04,m2.29@example.com,+64 22 2000029,Female,Gastroenterology,Dysphagia assessment,Routine,Triaged,2025-06-02T17:23:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000029
M200030,Daniel Russell,1972-09-05,m2.30@example.com,+64 22 2000030,Male,Ophthalmology,Sudden visual field loss,SemiUrgent,Accepted,2025-07-03T08:30:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000030
M200031,Penelope Reed,1973-10-06,m2.31@example.com,+64 22 2000031,Female,Pulmonology,COPD exacerbation,Urgent,Declined,2025-08-04T09:37:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000031
M200032,Samuel Bennett,1974-11-07,m2.32@example.com,+64 22 2000032,Male,Cardiology,Atrial fibrillation review,Routine,Booked,2025-09-05T10:44:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000032
M200033,Olivia Reid,1975-12-08,m2.33@example.com,+64 22 2000033,Female,Orthopedics,Ankle instability,SemiUrgent,Completed,2025-10-06T11:51:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000033
M200034,Noah Singh,1976-01-09,m2.34@example.com,+64 22 2000034,Male,Neurology,Peripheral neuropathy,Urgent,Received,2025-11-07T12:58:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000034
M200035,Amelia Green,1977-02-10,m2.35@example.com,+64 22 2000035,Female,Dermatology,Suspicious pigmented lesion,Routine,Triaged,2025-12-08T13:05:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000035
M200036,Liam Clarke,1978-03-11,m2.36@example.com,+64 22 2000036,Male,Oncology,Lymphadenopathy review,SemiUrgent,Accepted,2025-01-09T14:12:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000036
M200037,Sophia Hughes,1979-04-12,m2.37@example.com,+64 22 2000037,Female,Gastroenterology,Abdominal pain weight loss,Urgent,Declined,2025-02-10T15:19:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000037
M200038,Mason Russell,1980-05-13,m2.38@example.com,+64 22 2000038,Male,Ophthalmology,Glaucoma review,Routine,Booked,2025-03-11T16:26:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000038
M200039,Isla Reed,1981-06-14,m2.39@example.com,+64 22 2000039,Female,Pulmonology,Suspected ILD,SemiUrgent,Completed,2025-04-12T17:33:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000039
M200040,Ethan Bennett,1982-07-15,m2.40@example.com,+64 22 2000040,Male,Cardiology,Exertional chest pain,Urgent,Received,2025-05-13T08:40:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000040
M200041,Mia Reid,1983-08-16,m2.41@example.com,+64 22 2000041,Female,Orthopedics,Shoulder dislocation,Routine,Triaged,2025-06-14T09:47:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000041
M200042,Jack Singh,1984-09-17,m2.42@example.com,+64 22 2000042,Male,Neurology,Parkinsonism features,SemiUrgent,Accepted,2025-07-15T10:54:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000042
M200043,Ava Green,1985-10-18,m2.43@example.com,+64 22 2000043,Female,Dermatology,Chronic urticaria,Urgent,Declined,2025-08-16T11:01:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000043
M200044,William Clarke,1986-11-19,m2.44@example.com,+64 22 2000044,Male,Oncology,Abnormal imaging mass,Routine,Booked,2025-09-17T12:08:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000044
M200045,Charlotte Hughes,1987-12-20,m2.45@example.com,+64 22 2000045,Female,Gastroenterology,Iron deficiency anaemia,SemiUrgent,Completed,2025-10-18T13:15:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000045
M200046,James Russell,1988-01-21,m2.46@example.com,+64 22 2000046,Male,Ophthalmology,Diabetic retinopathy,Urgent,Received,2025-11-19T14:22:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000046
M200047,Harper Reed,1989-02-22,m2.47@example.com,+64 22 2000047,Female,Pulmonology,Hemoptysis investigation,Routine,Triaged,2025-12-20T15:29:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000047
M200048,Lucas Bennett,1990-03-23,m2.48@example.com,+64 22 2000048,Male,Cardiology,Heart failure optimisation,SemiUrgent,Accepted,2025-01-21T16:36:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000048
M200049,Ella Reid,1991-04-24,m2.49@example.com,+64 22 2000049,Female,Orthopedics,Back pain with sciatica,Urgent,Declined,2025-02-22T17:43:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000049
M200050,Benjamin Singh,1992-05-25,m2.50@example.com,+64 22 2000050,Male,Neurology,Recurrent migraines,Routine,Booked,2025-03-23T08:50:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000050
M200051,Grace Green,1993-06-26,m2.51@example.com,+64 22 2000051,Female,Dermatology,Widespread eczema,SemiUrgent,Completed,2025-04-24T09:57:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000051
M200052,Henry Clarke,1994-07-27,m2.52@example.com,+64 22 2000052,Male,Oncology,Suspected malignancy,Urgent,Received,2025-05-25T10:04:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000052
M200053,Ruby Hughes,1940-08-28,m2.53@example.com,+64 22 2000053,Female,Gastroenterology,IBD flare review,Routine,Triaged,2025-06-26T11:11:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000053
M200054,Oscar Russell,1941-09-01,m2.54@example.com,+64 22 2000054,Male,Ophthalmology,Red eye persistent,SemiUrgent,Accepted,2025-07-27T12:18:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000054
M200055,Zoe Reed,1942-10-02,m2.55@example.com,+64 22 2000055,Female,Pulmonology,Chronic cough 3 months,Urgent,Declined,2025-08-28T13:25:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000055
M200056,Leo Bennett,1943-11-03,m2.56@example.com,+64 22 2000056,Male,Cardiology,Palpitations with syncope,Routine,Booked,2025-09-01T14:32:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000056
M200057,Lily Reid,1944-12-04,m2.57@example.com,+64 22 2000057,Female,Orthopedics,Hip osteoarthritis,SemiUrgent,Completed,2025-10-02T15:39:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000057
M200058,Finn Singh,1945-01-05,m2.58@example.com,+64 22 2000058,Male,Neurology,TIA symptoms,Urgent,Received,2025-11-03T16:46:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000058
M200059,Chloe Green,1946-02-06,m2.59@example.com,+64 22 2000059,Female,Dermatology,Acne refractory,Routine,Triaged,2025-12-04T17:53:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000059
M200060,Archie Clarke,1947-03-07,m2.60@example.com,+64 22 2000060,Male,Oncology,Breast lump assessment,SemiUrgent,Accepted,2025-01-05T08:00:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000060
M200061,Emily Hughes,1948-04-08,m2.61@example.com,+64 22 2000061,Female,Gastroenterology,Rectal bleeding,Urgent,Declined,2025-02-06T09:07:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000061
M200062,George Russell,1949-05-09,m2.62@example.com,+64 22 2000062,Male,Ophthalmology,Cataract affecting driving,Routine,Booked,2025-03-07T10:14:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000062
M200063,Poppy Reed,1950-06-10,m2.63@example.com,+64 22 2000063,Female,Pulmonology,Asthma poorly controlled,SemiUrgent,Completed,2025-04-08T11:21:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000063
M200064,Harry Bennett,1951-07-11,m2.64@example.com,+64 22 2000064,Male,Cardiology,Abnormal ECG,Urgent,Received,2025-05-09T12:28:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000064
M200065,Ivy Reid,1952-08-12,m2.65@example.com,+64 22 2000065,Female,Orthopedics,Persistent knee pain,Routine,Triaged,2025-06-10T13:35:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000065
M200066,Jacob Singh,1953-09-13,m2.66@example.com,+64 22 2000066,Male,Neurology,New onset seizure,SemiUrgent,Accepted,2025-07-11T14:42:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000066
M200067,Sienna Green,1954-10-14,m2.67@example.com,+64 22 2000067,Female,Dermatology,Psoriasis not responding,Urgent,Declined,2025-08-12T15:49:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000067
M200068,Thomas Clarke,1955-11-15,m2.68@example.com,+64 22 2000068,Male,Oncology,Post-treatment follow-up,Routine,Booked,2025-09-13T16:56:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000068
M200069,Willow Hughes,1956-12-16,m2.69@example.com,+64 22 2000069,Female,Gastroenterology,Dysphagia assessment,SemiUrgent,Completed,2025-10-14T17:03:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000069
M200070,Daniel Russell,1957-01-17,m2.70@example.com,+64 22 2000070,Male,Ophthalmology,Sudden visual field loss,Urgent,Received,2025-11-15T08:10:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000070
M200071,Penelope Reed,1958-02-18,m2.71@example.com,+64 22 2000071,Female,Pulmonology,COPD exacerbation,Routine,Triaged,2025-12-16T09:17:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000071
M200072,Samuel Bennett,1959-03-19,m2.72@example.com,+64 22 2000072,Male,Cardiology,Atrial fibrillation review,SemiUrgent,Accepted,2025-01-17T10:24:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000072
M200073,Olivia Reid,1960-04-20,m2.73@example.com,+64 22 2000073,Female,Orthopedics,Ankle instability,Urgent,Declined,2025-02-18T11:31:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000073
M200074,Noah Singh,1961-05-21,m2.74@example.com,+64 22 2000074,Male,Neurology,Peripheral neuropathy,Routine,Booked,2025-03-19T12:38:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000074
M200075,Amelia Green,1962-06-22,m2.75@example.com,+64 22 2000075,Female,Dermatology,Suspicious pigmented lesion,SemiUrgent,Completed,2025-04-20T13:45:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000075
M200076,Liam Clarke,1963-07-23,m2.76@example.com,+64 22 2000076,Male,Oncology,Lymphadenopathy review,Urgent,Received,2025-05-21T14:52:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000076
M200077,Sophia Hughes,1964-08-24,m2.77@example.com,+64 22 2000077,Female,Gastroenterology,Abdominal pain weight loss,Routine,Triaged,2025-06-22T15:59:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000077
M200078,Mason Russell,1965-09-25,m2.78@example.com,+64 22 2000078,Male,Ophthalmology,Glaucoma review,SemiUrgent,Accepted,2025-07-23T16:06:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000078
M200079,Isla Reed,1966-10-26,m2.79@example.com,+64 22 2000079,Female,Pulmonology,Suspected ILD,Urgent,Declined,2025-08-24T17:13:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000079
M200080,Ethan Bennett,1967-11-27,m2.80@example.com,+64 22 2000080,Male,Cardiology,Exertional chest pain,Routine,Booked,2025-09-25T08:20:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000080
M200081,Mia Reid,1968-12-28,m2.81@example.com,+64 22 2000081,Female,Orthopedics,Shoulder dislocation,SemiUrgent,Completed,2025-10-26T09:27:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000081
M200082,Jack Singh,1969-01-01,m2.82@example.com,+64 22 2000082,Male,Neurology,Parkinsonism features,Urgent,Received,2025-11-27T10:34:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000082
M200083,Ava Green,1970-02-02,m2.83@example.com,+64 22 2000083,Female,Dermatology,Chronic urticaria,Routine,Triaged,2025-12-28T11:41:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000083
M200084,William Clarke,1971-03-03,m2.84@example.com,+64 22 2000084,Male,Oncology,Abnormal imaging mass,SemiUrgent,Accepted,2025-01-01T12:48:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000084
M200085,Charlotte Hughes,1972-04-04,m2.85@example.com,+64 22 2000085,Female,Gastroenterology,Iron deficiency anaemia,Urgent,Declined,2025-02-02T13:55:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000085
M200086,James Russell,1973-05-05,m2.86@example.com,+64 22 2000086,Male,Ophthalmology,Diabetic retinopathy,Routine,Booked,2025-03-03T14:02:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000086
M200087,Harper Reed,1974-06-06,m2.87@example.com,+64 22 2000087,Female,Pulmonology,Hemoptysis investigation,SemiUrgent,Completed,2025-04-04T15:09:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000087
M200088,Lucas Bennett,1975-07-07,m2.88@example.com,+64 22 2000088,Male,Cardiology,Heart failure optimisation,Urgent,Received,2025-05-05T16:16:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000088
M200089,Ella Reid,1976-08-08,m2.89@example.com,+64 22 2000089,Female,Orthopedics,Back pain with sciatica,Routine,Triaged,2025-06-06T17:23:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000089
M200090,Benjamin Singh,1977-09-09,m2.90@example.com,+64 22 2000090,Male,Neurology,Recurrent migraines,SemiUrgent,Accepted,2025-07-07T08:30:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000090
M200091,Grace Green,1978-10-10,m2.91@example.com,+64 22 2000091,Female,Dermatology,Widespread eczema,Urgent,Declined,2025-08-08T09:37:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000091
M200092,Henry Clarke,1979-11-11,m2.92@example.com,+64 22 2000092,Male,Oncology,Suspected malignancy,Routine,Booked,2025-09-09T10:44:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000092
M200093,Ruby Hughes,1980-12-12,m2.93@example.com,+64 22 2000093,Female,Gastroenterology,IBD flare review,SemiUrgent,Completed,2025-10-10T11:51:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000093
M200094,Oscar Russell,1981-01-13,m2.94@example.com,+64 22 2000094,Male,Ophthalmology,Red eye persistent,Urgent,Received,2025-11-11T12:58:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000094
M200095,Zoe Reed,1982-02-14,m2.95@example.com,+64 22 2000095,Female,Pulmonology,Chronic cough 3 months,Routine,Triaged,2025-12-12T13:05:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000095
M200096,Leo Bennett,1983-03-15,m2.96@example.com,+64 22 2000096,Male,Cardiology,Palpitations with syncope,SemiUrgent,Accepted,2025-01-13T14:12:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000096
M200097,Lily Reid,1984-04-16,m2.97@example.com,+64 22 2000097,Female,Orthopedics,Hip osteoarthritis,Urgent,Declined,2025-02-14T15:19:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000097
M200098,Finn Singh,1985-05-17,m2.98@example.com,+64 22 2000098,Male,Neurology,TIA symptoms,Routine,Booked,2025-03-15T16:26:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000098
M200099,Chloe Green,1986-06-18,m2.99@example.com,+64 22 2000099,Female,Dermatology,Acne refractory,SemiUrgent,Completed,2025-04-16T17:33:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000099
M200100,Archie Clarke,1987-07-19,m2.100@example.com,+64 22 2000100,Male,Oncology,Breast lump assessment,Urgent,Received,2025-05-17T08:40:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000100
M200101,Emily Hughes,1988-08-20,m2.101@example.com,+64 22 2000101,Female,Gastroenterology,Rectal bleeding,Routine,Triaged,2025-06-18T09:47:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000101
M200102,George Russell,1989-09-21,m2.102@example.com,+64 22 2000102,Male,Ophthalmology,Cataract affecting driving,SemiUrgent,Accepted,2025-07-19T10:54:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000102
M200103,Poppy Reed,1990-10-22,m2.103@example.com,+64 22 2000103,Female,Pulmonology,Asthma poorly controlled,Urgent,Declined,2025-08-20T11:01:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000103
M200104,Harry Bennett,1991-11-23,m2.104@example.com,+64 22 2000104,Male,Cardiology,Abnormal ECG,Routine,Booked,2025-09-21T12:08:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000104
M200105,Ivy Reid,1992-12-24,m2.105@example.com,+64 22 2000105,Female,Orthopedics,Persistent knee pain,SemiUrgent,Completed,2025-10-22T13:15:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000105
M200106,Jacob Singh,1993-01-25,m2.106@example.com,+64 22 2000106,Male,Neurology,New onset seizure,Urgent,Received,2025-11-23T14:22:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000106
M200107,Sienna Green,1994-02-26,m2.107@example.com,+64 22 2000107,Female,Dermatology,Psoriasis not responding,Routine,Triaged,2025-12-24T15:29:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000107
M200108,Thomas Clarke,1940-03-27,m2.108@example.com,+64 22 2000108,Male,Oncology,Post-treatment follow-up,SemiUrgent,Accepted,2025-01-25T16:36:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000108
M200109,Willow Hughes,1941-04-28,m2.109@example.com,+64 22 2000109,Female,Gastroenterology,Dysphagia assessment,Urgent,Declined,2025-02-26T17:43:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000109
M200110,Daniel Russell,1942-05-01,m2.110@example.com,+64 22 2000110,Male,Ophthalmology,Sudden visual field loss,Routine,Booked,2025-03-27T08:50:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000110
M200111,Penelope Reed,1943-06-02,m2.111@example.com,+64 22 2000111,Female,Pulmonology,COPD exacerbation,SemiUrgent,Completed,2025-04-28T09:57:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000111
M200112,Samuel Bennett,1944-07-03,m2.112@example.com,+64 22 2000112,Male,Cardiology,Atrial fibrillation review,Urgent,Received,2025-05-01T10:04:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000112
M200113,Olivia Reid,1945-08-04,m2.113@example.com,+64 22 2000113,Female,Orthopedics,Ankle instability,Routine,Triaged,2025-06-02T11:11:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000113
M200114,Noah Singh,1946-09-05,m2.114@example.com,+64 22 2000114,Male,Neurology,Peripheral neuropathy,SemiUrgent,Accepted,2025-07-03T12:18:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000114
M200115,Amelia Green,1947-10-06,m2.115@example.com,+64 22 2000115,Female,Dermatology,Suspicious pigmented lesion,Urgent,Declined,2025-08-04T13:25:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000115
M200116,Liam Clarke,1948-11-07,m2.116@example.com,+64 22 2000116,Male,Oncology,Lymphadenopathy review,Routine,Booked,2025-09-05T14:32:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000116
M200117,Sophia Hughes,1949-12-08,m2.117@example.com,+64 22 2000117,Female,Gastroenterology,Abdominal pain weight loss,SemiUrgent,Completed,2025-10-06T15:39:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000117
M200118,Mason Russell,1950-01-09,m2.118@example.com,+64 22 2000118,Male,Ophthalmology,Glaucoma review,Urgent,Received,2025-11-07T16:46:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000118
M200119,Isla Reed,1951-02-10,m2.119@example.com,+64 22 2000119,Female,Pulmonology,Suspected ILD,Routine,Triaged,2025-12-08T17:53:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000119
M200120,Ethan Bennett,1952-03-11,m2.120@example.com,+64 22 2000120,Male,Cardiology,Exertional chest pain,SemiUrgent,Accepted,2025-01-09T08:00:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000120
M200121,Mia Reid,1953-04-12,m2.121@example.com,+64 22 2000121,Female,Orthopedics,Shoulder dislocation,Urgent,Declined,2025-02-10T09:07:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000121
M200122,Jack Singh,1954-05-13,m2.122@example.com,+64 22 2000122,Male,Neurology,Parkinsonism features,Routine,Booked,2025-03-11T10:14:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000122
M200123,Ava Green,1955-06-14,m2.123@example.com,+64 22 2000123,Female,Dermatology,Chronic urticaria,SemiUrgent,Completed,2025-04-12T11:21:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000123
M200124,William Clarke,1956-07-15,m2.124@example.com,+64 22 2000124,Male,Oncology,Abnormal imaging mass,Urgent,Received,2025-05-13T12:28:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000124
M200125,Charlotte Hughes,1957-08-16,m2.125@example.com,+64 22 2000125,Female,Gastroenterology,Iron deficiency anaemia,Routine,Triaged,2025-06-14T13:35:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000125
M200126,James Russell,1958-09-17,m2.126@example.com,+64 22 2000126,Male,Ophthalmology,Diabetic retinopathy,SemiUrgent,Accepted,2025-07-15T14:42:00,admin@referwell.com,gp2@referwell.com,LEG-M2-000126
M200127,Harper Reed,1959-10-18,m2.127@example.com,+64 22 2000127,Female,Pulmonology,Hemoptysis investigation,Urgent,Declined,2025-08-16T15:49:00,nurse@referwell.com,gp1@referwell.com,LEG-M2-000127
